
Doc:
scope: The nodes in the model graph are organized by their names, which is hierarchical like filesystem.
requested bytes: The memory requested by the operation, accumulatively.
total execution time: Sum of accelerator execution time and cpu execution time.
cpu execution time: The time from the start to the end of the operation. It's the sum of actual cpu run time plus the time that it spends waiting if part of computation is launched asynchronously.
accelerator execution time: Time spent executing on the accelerator. This is normally measured by the actual hardware library.

Profile:
node name | requested bytes | total execution time | accelerator execution time | cpu execution time
_TFProfRoot (--/255.26MB, --/73.47ms, --/0us, --/73.47ms)
  dense (0B/151.03MB, 0us/17.20ms, 0us/0us, 0us/17.20ms)
    dense/MatMul (16.38KB/16.38KB, 17.19ms/17.19ms, 0us/0us, 17.19ms/17.19ms)
    dense/bias (16.38KB/16.38KB, 2us/2us, 0us/0us, 2us/2us)
    dense/kernel (150.99MB/150.99MB, 2us/2us, 0us/0us, 2us/2us)
  convolution (1.16MB/1.16MB, 13.82ms/13.82ms, 0us/0us, 13.82ms/13.82ms)
  Pad (623.81KB/623.84KB, 7.80ms/7.80ms, 0us/0us, 7.80ms/7.80ms)
    Pad/paddings (32B/32B, 1us/1us, 0us/0us, 1us/1us)
  dense_2 (0B/16.40MB, 0us/6.17ms, 0us/0us, 0us/6.17ms)
    dense_2/MatMul (16.38KB/16.38KB, 6.16ms/6.16ms, 0us/0us, 6.16ms/6.16ms)
    dense_2/bias (4.00KB/4.00KB, 3us/3us, 0us/0us, 3us/3us)
    dense_2/kernel (16.38MB/16.38MB, 2us/2us, 0us/0us, 2us/2us)
  norm1 (1.16MB/1.16MB, 3.98ms/3.98ms, 0us/0us, 3.98ms/3.98ms)
  concat (746.50KB/746.50KB, 3.67ms/3.67ms, 0us/0us, 3.67ms/3.67ms)
  pool1 (279.94KB/279.94KB, 3.63ms/3.63ms, 0us/0us, 3.63ms/3.63ms)
  Flatten (0B/36B, 0us/2.72ms, 0us/0us, 0us/2.72ms)
    Flatten/flatten (0B/36B, 0us/2.72ms, 0us/0us, 0us/2.72ms)
      Flatten/flatten/strided_slice (4B/12B, 1.43ms/1.43ms, 0us/0us, 1.43ms/1.43ms)
        Flatten/flatten/strided_slice/stack_1 (4B/4B, 2us/2us, 0us/0us, 2us/2us)
        Flatten/flatten/strided_slice/stack (4B/4B, 1us/1us, 0us/0us, 1us/1us)
      Flatten/flatten/Shape (16B/16B, 1.28ms/1.28ms, 0us/0us, 1.28ms/1.28ms)
      Flatten/flatten/Reshape (0B/8B, 6us/12us, 0us/0us, 6us/12us)
        Flatten/flatten/Reshape/shape (8B/8B, 6us/6us, 0us/0us, 6us/6us)
